"Species NCBI TaxID"|"Species ECOTOX Number"|
6772|745|
|75|
|75|
|75|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
313441|1632|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
313441|1632|
313441|1632|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
147949|106|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
27706|89|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
173342|136|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
337539|308|
337539|308|
337539|308|
337539|308|
219545|133|
201691|30|
238744|375|
13106|2|
13106|2|
8040|82|
13106|2|
13106|2|
13106|2|
7998|20|
13106|2|
13106|2|
8030|68|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
|4985|
1211424|387|
1211424|387|
|4697|
1211424|387|
|2851|
1211424|387|
304456|418|
|2793|
|4651|
|1230|
13103|5172|
7756|5184|
7772|5168|
13103|5172|
7756|5184|
7772|5168|
7772|5168|
7772|5168|
13103|5172|
7756|5184|
13103|5172|
7756|5184|
7955|5156|
7955|5156|
7998|20|
8022|4|
52404|5181|
45954|218|
45954|218|
59188|669|
85549|366|
104777|1747|
10195|345|
543362|2768|
|388|
110441|142|
219545|133|
8167|38|
13106|2|
28743|86|
90988|1|
7971|283|
7998|20|
13106|2|
201691|30|
7962|21|
7957|25|
8022|4|
8022|4|
238741|2208|
269057|341|
110441|142|
110441|142|
13106|2|
13106|2|
28743|86|
8019|23|
8022|4|
8022|4|
8022|4|
|4985|
34816|59|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
8022|4|
69004|4766|
69004|4766|
69004|4766|
69004|4766|
|5894|
69004|4766|
69004|4766|
13106|2|
8022|4|
272817|932|
110441|142|
315707|7|
|75|
34816|59|
13106|2|
8081|28|
28743|86|
8022|4|
8022|4|
|1579|
|18395|
|5894|
117530|2371|
90988|1|
8022|4|
|2265|
42240|1942|
|864|
6772|745|
|864|
|864|
|864|
35525|5|
35525|5|
221654|302|
221654|302|
|75|
110441|142|
69811|146|
13106|2|
7998|20|
13106|2|
13106|2|
8078|57|
7998|20|
13106|2|
13106|2|
8081|28|
13106|2|
28743|86|
8081|28|
28743|86|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
7175|210|
42240|1942|
42240|1942|
42240|1942|
6082|2329|
6526|577|
36930|5938|
6526|577|
6526|577|
6526|577|
6526|577|
6526|577|
55832|667|
36930|5938|
152466|5360|
6526|577|
6526|577|
152466|5360|
29159|575|
29159|575|
29159|575|
73031|586|
73031|586|
|1618|
6386|532|
35525|5|
8081|28|
7175|210|
6526|577|
157968|10612|
6526|577|
6526|577|
6526|577|
6526|577|
6526|577|
6526|577|
6526|577|
157968|10612|
6526|577|
6526|577|
6386|532|
|4985|
|4771|
1211424|387|
1211424|387|
6700|39|
1211424|387|
1211424|387|
|4771|
|5861|
110441|142|
110441|142|
315707|7|
34816|59|
90988|1|
13106|2|
13106|2|
90988|1|
13106|2|
52639|6|
52639|6|
52639|6|
13106|2|
8022|4|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
|1609|
13106|2|
8022|4|
84645|202|
84645|202|
84645|202|
13106|2|
8022|4|
|3002|
13106|2|
8022|4|
8022|4|
85549|366|
221654|302|
13106|2|
13106|2|
13106|2|
28743|86|
13106|2|
13106|2|
8022|4|
8022|4|
8022|4|
8022|4|
|4985|
1211424|387|
1211424|387|
1211424|387|
|50|
1211424|387|
35525|5|
315707|7|
35525|5|
|4752|
45205|5256|
|4752|
45205|5256|
93621|352|
|4752|
45205|5256|
45205|5256|
90988|1|
90988|1|
13106|2|
13106|2|
90988|1|
13106|2|
7957|25|
7962|21|
8022|4|
8022|4|
8022|4|
204564|4377|
1249915|182|
1249915|182|
204564|4377|
204564|4377|
315576|964|
7153|85|
7153|85|
315576|964|
104777|1747|
29159|575|
8022|4|
|4985|
1211424|387|
1211424|387|
1211424|387|
1211424|387|
52639|6|
110441|142|
93621|352|
28743|86|
8032|49|
7957|25|
8022|4|
8022|4|
8022|4|
8022|4|
|2857|
|4985|
1211424|387|
1211424|387|
1211424|387|
1211424|387|
35525|5|
8081|28|
201691|30|
8081|28|
8081|28|
8022|4|
|2793|
|1230|
7167|709|
|2422|
7165|2919|
6700|39|
230730|24|
306179|53|
|50|
315707|7|
110441|142|
67550|143|
13106|2|
13106|2|
13106|2|
13106|2|
28743|86|
8022|4|
8022|4|
8022|4|
8022|4|
117530|2371|
90988|1|
90988|1|
7955|5156|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
|4985|
1211424|387|
72036|5473|
1211424|387|
92525|609|
1211424|387|
1211424|387|
72036|5473|
72036|5473|
92525|609|
272817|932|
72036|5473|
92525|609|
72036|5473|
92525|609|
92525|609|
72036|5473|
110441|142|
110441|142|
315707|7|
38527|2333|
38527|2333|
1111475|5176|
568895|5175|
76053|88|
8127|134|
8127|134|
161586|1658|
30962|34|
8127|134|
38527|2333|
38527|2333|
568895|5175|
8127|134|
8127|134|
238744|375|
13106|2|
8040|82|
28743|86|
28743|86|
8081|28|
13106|2|
8078|57|
59837|110|
13106|2|
13106|2|
13106|2|
7962|21|
7962|21|
7962|21|
7962|21|
7962|21|
7962|21|
8022|4|
8022|4|
8022|4|
8022|4|
|10989|
315576|964|
315576|964|
315576|964|
315576|964|
315576|964|
315576|964|
146087|564|
34582|492|
240818|905|
240818|905|
240818|905|
240818|905|
240818|905|
44764|1137|
44764|1137|
44764|1137|
44764|1137|
44764|1137|
13106|2|
8022|4|
1211424|387|
|2295|
6706|346|
|213|
|213|
|2295|
6706|346|
|213|
6706|346|
1211424|387|
6706|346|
1211424|387|
1211424|387|
|2295|
|213|
|2295|
110441|142|
110441|142|
110441|142|
110441|142|
35525|5|
110441|142|
35525|5|
52639|6|
304456|418|
304456|418|
28743|86|
28743|86|
28743|86|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
7962|21|
7962|21|
7962|21|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
|2793|
|1230|
|1362|
|3002|
|3002|
|3002|
8355|206|
8355|206|
85549|366|
59188|669|
104777|1747|
10195|345|
6396|4991|
85549|366|
59188|669|
8022|4|
104777|1747|
10195|345|
|3002|
59188|669|
85549|366|
10195|345|
104777|1747|
|3002|
8355|206|
8355|206|
8022|4|
13106|2|
8022|4|
92525|609|
92525|609|
92525|609|
92525|609|
92525|609|
52638|2258|
117530|2371|
52638|2258|
52638|2258|
52638|2258|
52638|2258|
90988|1|
90988|1|
90988|1|
10195|345|
104777|1747|
|4777|
|4777|
|4777|
|4777|
|4777|
6523|294|
6523|294|
6523|294|
6523|294|
6523|294|
13106|2|
8022|4|
238741|2208|
269057|341|
13106|2|
8022|4|
8022|4|
8022|4|
13106|2|
85549|366|
7962|21|
8022|4|
7955|5156|
8355|206|
8355|206|
7955|5156|
110441|142|
13106|2|
28743|86|
13106|2|
8355|206|
59188|669|
59188|669|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
8022|4|
85549|366|
85549|366|
6772|745|
35525|5|
110441|142|
110441|142|
6759|10|
432397|14|
432397|14|
28743|86|
90988|1|
90988|1|
13106|2|
90988|1|
13106|2|
28743|86|
7998|20|
7962|21|
7962|21|
7962|21|
7957|25|
7962|21|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
6526|577|
8022|4|
13106|2|
13106|2|
8022|4|
8022|4|
69811|146|
7175|210|
52639|6|
110441|142|
90988|1|
13106|2|
28743|86|
13106|2|
8022|4|
8022|4|
8355|206|
104782|4375|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
13106|2|
8022|4|
104782|4375|
8355|206|
6689|11779|
6689|11779|
6689|11779|
6689|11779|
6689|11779|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
90988|1|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
8022|4|
6772|745|
6772|745|
|75|
|75|
13106|2|
13106|2|
7998|20|
7998|20|
8022|4|
8022|4|
110441|142|
110441|142|
13106|2|
28743|86|
13106|2|
13106|2|
28743|86|
13106|2|
28743|86|
13106|2|
8022|4|
8022|4|
8022|4|
8022|4|
13106|2|
8022|4|
247138|4424|
178841|728|
6700|39|
29144|386|
8127|134|
29144|386|
29144|386|
8127|134|
8127|134|
29144|386|
219545|133|
29144|386|
29144|386|
8127|134|
8127|134|
8127|134|
219545|133|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
7971|283|
13106|2|
7998|20|
13106|2|
7971|283|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
13106|2|
13106|2|
201691|30|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
201691|30|
7962|21|
7962|21|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
50443|540|
126163|459|
110031|2336|
45948|923|
1856808|413|
584722|752|
|5995|
52404|5181|
45954|218|
|1618|
45954|218|
66403|1159|
|4985|
446220|4783|
446220|4783|
446220|4783|
110441|142|
67550|143|
90988|1|
28743|86|
13106|2|
13106|2|
13106|2|
8032|49|
8022|4|
7959|201|
247138|4424|
8022|4|
604281|224|
604281|224|
604281|224|
604281|224|
6700|39|
|50|
315707|7|
315707|7|
110441|142|
110441|142|
27706|89|
219545|133|
69811|146|
8167|38|
8182|291|
238741|2208|
90988|1|
201691|30|
28743|86|
269057|341|
13106|2|
13106|2|
7998|20|
8010|131|
28743|86|
8032|49|
8022|4|
8022|4|
13106|2|
8022|4|
|5880|
|5880|
|5880|
|5880|
|5880|
|5880|
|5880|
35525|5|
35525|5|
35525|5|
|75|
35525|5|
27706|89|
48193|71|
7955|5156|
13106|2|
7971|283|
7955|5156|
13106|2|
90988|1|
13106|2|
7955|5156|
7955|5156|
8030|68|
8022|4|
8022|4|
104777|1747|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
8022|4|
13106|2|
13106|2|
8022|4|
8022|4|
8400|812|
13106|2|
7998|20|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
7998|20|
8019|23|
8019|23|
8019|23|
8019|23|
8019|23|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
197159|530|
52404|5181|
45954|218|
45954|218|
|416|
|75|
110441|142|
13106|2|
28743|86|
8022|4|
13106|2|
13106|2|
90988|1|
8022|4|
8022|4|
13106|2|
8019|23|
8022|4|
8022|4|
8022|4|
13106|2|
8022|4|
35525|5|
35525|5|
13106|2|
13106|2|
28743|86|
8022|4|
8022|4|
|4985|
29159|575|
13106|2|
8022|4|
117530|2371|
90988|1|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
34816|59|
13106|2|
13106|2|
13106|2|
8022|4|
8022|4|
|75|
110441|142|
13106|2|
13106|2|
28743|86|
238744|375|
8032|49|
8022|4|
8022|4|
6565|67|
6565|67|
|75|
59899|113|
90988|1|
269057|341|
13106|2|
8022|4|
