"Species NCBI TaxID"|"Species ECOTOX Number"|
426484|49938|
426484|49938|
426484|49938|
219752|16126|
426484|49938|
426484|49938|
7955|5156|
7955|5156|
90988|1|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
37003|1517|
37003|1517|
37003|1517|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
294128|52|
294128|52|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
|18447|
|18447|
7159|230|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
104385|4734|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
35525|5|
7955|5156|
7955|5156|
29158|385|
|16801|
7955|5156|
7955|5156|
29158|385|
7955|5156|
35525|5|
35525|5|
35525|5|
90988|1|
8022|4|
35525|5|
304018|41903|
304018|41903|
304018|41903|
304018|41903|
8084|1681|
8084|1681|
8084|1681|
8084|1681|
42528|11805|
37273|4393|
37273|4393|
37273|4393|
37273|4393|
48699|73|
48699|73|
48699|73|
48699|73|
1606681|41904|
1606681|41904|
1606681|41904|
313441|1632|
1606681|41904|
7955|5156|
8081|28|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
8081|28|
8081|28|
8081|28|
7957|25|
7962|21|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
|1579|
|1847|
|1579|
|1579|
|1847|
|1847|
|1579|
|1847|
|1847|
|1847|
55967|29537|
|1847|
|1579|
|1847|
|1579|
|1847|
|1579|
7159|230|
29158|385|
1400849|4389|
158387|6038|
30732|20710|
12922|16496|
55976|29013|
6660|421|
6660|421|
6660|421|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
45438|2353|
45438|2353|
45438|2353|
45438|2353|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
35525|5|
35525|5|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
360686|16315|
360686|16315|
104777|1747|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
7955|5156|
117530|2371|
7955|5156|
7955|5156|
7955|5156|
245074|2513|
7955|5156|
7955|5156|
35525|5|
129027|31029|
159741|1460|
205134|1584|
205134|1584|
93621|352|
93621|352|
93621|352|
205134|1584|
205134|1584|
93621|352|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
|32983|
|32983|
178295|676|
|18447|
7159|230|
7159|230|
7153|85|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
644998|635|
8355|206|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
|16801|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
245074|2513|
7955|5156|
8355|206|
6660|421|
6660|421|
85549|366|
6660|421|
35525|5|
84645|202|
84645|202|
75329|997|
13013|2079|
13013|2079|
72446|572|
75329|997|
75329|997|
13013|2079|
13013|2079|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
84645|202|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
683832|422|
84645|202|
84645|202|
|33372|
|33372|
72446|572|
84645|202|
13013|2079|
304456|418|
13013|2079|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
|1049|
|1049|
|1049|
|1049|
|1049|
|1049|
7153|85|
7153|85|
255478|25539|
255478|25539|
255478|25539|
255478|25539|
56106|1341|
8346|19239|
47562|3052|
160499|17201|
224134|29493|
77707|2310|
425018|500|
77707|2310|
77707|2310|
159741|1460|
224134|29493|
93621|352|
93621|352|
93621|352|
93621|352|
64150|579|
84645|202|
84645|202|
84645|202|
84645|202|
64150|579|
64150|579|
64150|579|
8022|4|
8022|4|
8022|4|
8022|4|
7192|1173|
7159|230|
1213214|16102|
104777|1747|
52396|374|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
279094|39951|
50959|494|
|1847|
|1847|
7159|230|
7955|5156|
6660|421|
7955|5156|
90988|1|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
294128|52|
294128|52|
|18447|
|18447|
294128|52|
294128|52|
|18447|
8389|29629|
43114|971|
43114|971|
43114|971|
43114|971|
189920|10828|
189920|10828|
189920|10828|
189920|10828|
8389|29629|
8389|29629|
8389|29629|
145282|28123|
45438|2353|
45438|2353|
45438|2353|
45438|2353|
|34562|
90988|1|
7955|5156|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
35525|5|
28743|86|
7955|5156|
104777|1747|
7955|5156|
7955|5156|
7159|230|
7955|5156|
7955|5156|
117530|2371|
35525|5|
117530|2371|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
28743|86|
28743|86|
28743|86|
28743|86|
|31668|
7175|210|
7175|210|
|4985|
324873|16284|
335913|52970|
213326|52971|
159736|7314|
35525|5|
51549|353|
304456|418|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7957|25|
33397|81|
129788|4735|
76587|233|
7955|5156|
7955|5156|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
38577|1194|
8355|206|
8355|206|
80839|27991|
112780|19979|
112780|19979|
92525|609|
112780|19979|
92525|609|
37003|1517|
37003|1517|
37003|1517|
90988|1|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
|31668|
|18268|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
90988|1|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
|1847|
55967|29537|
7159|230|
8355|206|
8355|206|
8355|206|
7955|5156|
7955|5156|
|32516|
|32516|
|32516|
|27874|
604281|224|
604281|224|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
