"Species NCBI TaxID"|"Species ECOTOX Number"|
38762|4598|
34816|59|
34816|59|
34816|59|
34816|59|
38762|4598|
38762|4598|
38762|4598|
34816|59|
90988|1|
|213|
|1009|
|213|
|213|
|213|
33528|16|
64152|528|
64152|528|
64152|528|
64152|528|
64152|528|
13106|2|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
|2422|
7176|397|
7159|230|
|2290|
169120|1570|
51294|886|
51294|886|
604281|224|
|4791|
|4791|
|4791|
|4791|
|4728|
|4728|
|4728|
|4728|
8355|206|
8355|206|
8355|206|
35525|5|
117530|2371|
6669|8|
103479|407|
90988|1|
90988|1|
90988|1|
35525|5|
90988|1|
6728|102|
6728|102|
6728|102|
6728|102|
7936|574|
7936|574|
7936|574|
7936|574|
8081|28|
104777|1747|
104777|1747|
10195|345|
104777|1747|
8022|4|
135777|209|
135777|209|
8081|28|
8355|206|
8355|206|
58777|1366|
33528|16|
33528|16|
33528|16|
7176|397|
7176|397|
7176|397|
7176|397|
90988|1|
7955|5156|
7955|5156|
90988|1|
8090|109|
1454754|11934|
8090|109|
|4771|
|4771|
|4771|
|5861|
|4771|
|5861|
|4771|
|4771|
|5861|
|4771|
|4771|
|4771|
|5861|
|4771|
|4771|
|4771|
|4771|
|4771|
|4771|
117530|2371|
7176|397|
7176|397|
7176|397|
7176|397|
7176|397|
90988|1|
8127|134|
84645|202|
84645|202|
84645|202|
84645|202|
84645|202|
8127|134|
84645|202|
84645|202|
84645|202|
84645|202|
84645|202|
84645|202|
84645|202|
8127|134|
84645|202|
8127|134|
84645|202|
84645|202|
35525|5|
35525|5|
90988|1|
90988|1|
90988|1|
90988|1|
8356|1492|
8356|1492|
8407|904|
8407|904|
|5860|
|5860|
|5860|
|5860|
|5860|
|5860|
52641|372|
136180|376|
52641|372|
7936|574|
8127|134|
7936|574|
8127|134|
7936|574|
33528|16|
33528|16|
33528|16|
7936|574|
7955|5156|
7176|397|
315576|964|
315576|964|
315576|964|
315576|964|
315576|964|
104777|1747|
10195|345|
|4790|
|3037|
28745|101|
28745|101|
90988|1|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
8022|4|
8022|4|
8022|4|
8022|4|
8081|28|
90988|1|
52639|6|
93621|352|
93621|352|
8127|134|
93621|352|
93621|352|
8127|134|
599746|4713|
189839|1262|
446444|5725|
8404|358|
8404|358|
8400|812|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8400|812|
8400|812|
8355|206|
8355|206|
7176|397|
7176|397|
7176|397|
7955|5156|
90988|1|
7955|5156|
90988|1|
8022|4|
35525|5|
35525|5|
6707|582|
6707|582|
6707|582|
6707|582|
6707|582|
110441|142|
117530|2371|
110441|142|
110441|142|
110441|142|
59899|113|
209118|2775|
209118|2775|
209118|2775|
7950|2279|
90988|1|
7950|2279|
7950|2279|
7950|2279|
7950|2279|
|1405|
61662|640|
8355|206|
8355|206|
33528|16|
1211424|387|
261864|1348|
|2555|
261864|1348|
1211424|387|
6761|2461|
6761|2461|
645159|730|
261864|1348|
|2555|
6761|2461|
|2555|
6761|2461|
|2555|
6761|2461|
221654|302|
110441|142|
221654|302|
110441|142|
110441|142|
110441|142|
117530|2371|
110441|142|
110441|142|
221654|302|
110441|142|
110441|142|
221654|302|
|2475|
|2475|
59899|113|
402707|2937|
|2475|
304456|418|
|2475|
64144|351|
59899|113|
304456|418|
304456|418|
59899|113|
304456|418|
|2475|
|2475|
|2475|
93621|352|
269057|341|
28743|86|
28743|86|
28743|86|
269057|341|
269057|341|
269057|341|
28743|86|
7176|397|
117530|2371|
35525|5|
35525|5|
117530|2371|
8081|28|
90988|1|
90988|1|
90988|1|
|5860|
|5860|
|5860|
|5860|
117530|2371|
35525|5|
35525|5|
117530|2371|
33528|16|
8081|28|
10195|345|
104777|1747|
104777|1747|
35525|5|
117530|2371|
35525|5|
117530|2371|
7955|5156|
90988|1|
7955|5156|
10195|345|
104777|1747|
104777|1747|
90988|1|
90988|1|
48194|1397|
90988|1|
90988|1|
104777|1747|
104777|1747|
7955|5156|
7955|5156|
13013|2755|
13013|2755|
13013|2755|
13013|2755|
117530|2371|
90988|1|
35525|5|
221654|302|
8078|57|
7955|5156|
7955|5156|
|4656|
8127|134|
8127|134|
6761|2461|
6761|2461|
6761|2461|
6761|2461|
6761|2461|
304456|418|
304456|418|
304456|418|
304456|418|
8090|109|
35525|5|
35525|5|
8090|109|
8355|206|
8355|206|
8090|109|
8355|206|
8355|206|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
8356|1492|
8356|1492|
8356|1492|
8355|206|
8355|206|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
90988|1|
69811|146|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
8022|4|
7955|5156|
8022|4|
6687|252|
1080760|4701|
221654|302|
221654|302|
221654|302|
221654|302|
221654|302|
221654|302|
8078|57|
8078|57|
90988|1|
8078|57|
8078|57|
8022|4|
8022|4|
8022|4|
8022|4|
90988|1|
90988|1|
90988|1|
90988|1|
7955|5156|
7955|5156|
7955|5156|
90988|1|
|2555|
261864|1348|
261864|1348|
261864|1348|
|2555|
|2555|
|2555|
261864|1348|
28745|101|
28745|101|
28745|101|
28745|101|
90988|1|
28745|101|
90988|1|
90988|1|
90988|1|
28745|101|
28745|101|
7957|25|
7957|25|
7957|25|
7957|25|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8030|68|
8022|4|
8022|4|
8022|4|
8022|4|
6454|1571|
|3037|
221654|302|
8078|57|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
28745|101|
90988|1|
28745|101|
8022|4|
8022|4|
8022|4|
8022|4|
90988|1|
7955|5156|
7955|5156|
7955|5156|
38762|4598|
38762|4598|
38762|4598|
7955|5156|
7955|5156|
110441|142|
13106|2|
28743|86|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
5908|484|
35525|5|
90988|1|
8081|28|
8022|4|
8022|4|
8022|4|
8022|4|
8355|206|
8355|206|
8355|206|
35525|5|
8081|28|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
35525|5|
110441|142|
110441|142|
110441|142|
110441|142|
117530|2371|
90988|1|
90988|1|
283036|3056|
126735|1789|
283036|3056|
34816|59|
34816|59|
41871|2515|
126735|1789|
283036|3056|
41871|2515|
34816|59|
126735|1789|
41871|2515|
34816|59|
126735|1789|
41871|2515|
126735|1789|
41871|2515|
283036|3056|
34816|59|
283036|3056|
34816|59|
126735|1789|
7998|20|
7998|20|
201691|30|
13106|2|
13106|2|
13106|2|
7998|20|
7998|20|
7998|20|
13106|2|
13106|2|
7998|20|
13106|2|
7998|20|
7998|20|
7998|20|
13106|2|
7998|20|
90988|1|
7998|20|
7998|20|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
13106|2|
7998|20|
7998|20|
13106|2|
13106|2|
7998|20|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
7998|20|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
13106|2|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
13106|2|
7998|20|
8010|131|
13106|2|
7998|20|
90988|1|
201691|30|
7998|20|
13106|2|
13106|2|
7998|20|
8010|131|
7998|20|
7998|20|
7998|20|
201691|30|
7998|20|
13106|2|
7998|20|
8010|131|
13106|2|
90988|1|
7998|20|
13106|2|
13106|2|
7998|20|
8010|131|
8010|131|
13106|2|
13106|2|
7998|20|
7998|20|
13106|2|
13106|2|
13106|2|
7998|20|
7998|20|
201691|30|
13106|2|
8010|131|
7998|20|
7998|20|
7998|20|
90988|1|
7998|20|
7998|20|
7998|20|
13106|2|
7998|20|
7998|20|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
7998|20|
7998|20|
13106|2|
7998|20|
13106|2|
13106|2|
7998|20|
13106|2|
13106|2|
7998|20|
13106|2|
13106|2|
7998|20|
13106|2|
7998|20|
13106|2|
7998|20|
7998|20|
