Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|6657|15613|
LC50|645159|730|
LC50|84308|281|
LC50|84308|281|
LC50|84308|281|
LC50|6657|15613|
LC50|6657|15613|
LC50|6668|70|
LC50|77663|10813|
LC50|6668|70|
LC50|6697|5355|
LC50|6657|15613|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|221654|302|
LC50|35525|5|
LC50|221654|302|
LC50|103213|18756|
LC50|94993|2231|
LC50|136835|15658|
LC50|7936|574|
LC50|94993|2231|
LC50|94993|2231|
LC50|94993|2231|
LC50|94993|2231|
LC50|13489|365|
LC50|7962|21|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50|7959|201|
LC50||18421|
LC50|37688|10300|
LC50|6565|67|
LC50|439429|17102|
LC50|146672|753|
LC50|30325|31156|
LC50|43114|971|
LC50|47562|3052|
LC50|160499|17201|
LC50|152344|4814|
LC50|38577|1194|
LC50|160499|17201|
LC50|30343|478|
LC50|103373|368|
LC50|298395|1467|
LC50|146672|753|
LC50|145282|1920|
LC50|8355|206|
LC50|8400|812|
LC50|69834|17199|
LC50|77707|2310|
LC50|29019|17738|
LC50|200852|5147|
LC50|77707|2310|
LC50|27403|517|
LC50|221654|302|
LC50|35525|5|
LC50|117530|2371|
LC50|36177|2516|
LC50|313441|1632|
LC50|72446|572|
LC50|54333|16176|
LC50|59899|113|
LC50|59899|113|
LC50|8128|485|
LC50|8284|1015|
LC50|59899|113|
LC50|54333|16176|
LC50|7955|5156|
LC50|28743|86|
LC50|8081|28|
LC50|8081|28|
LC50|8081|28|
LC50|8081|28|
LC50|8081|28|
LC50|8081|28|
LC50|28743|86|
LC50|28743|86|
LC50|90988|1|
LC50|90988|1|
LC50|7962|21|
LC50|7957|25|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|154827|2617|
LC50|68464|16178|
LC50|453929|11783|
LC50|323265|11784|
LC50|204490|17101|
LC50|453929|11783|
LC50|69138|135|
LC50|69138|135|
LC50|641303|11503|
LC50|323265|11784|
LC50|68464|16178|
LC50|232998|2599|
LC50|209197|11660|
LC50|154827|2617|
LC50|209197|11660|
LC50|72053|11611|
LC50|323265|11784|
LC50|641303|11503|
LC50|170859|4810|
LC50|7907|2514|
LC50|232998|2599|
LC50|87719|17099|
LC50|7907|2514|
LC50|87719|17099|
LC50|170859|4810|
LC50|204490|17101|
LC50|72053|11611|
LC50|310513|2090|
LC50|310513|2090|
LC50|7192|1173|
LC50||2422|
LC50|7159|230|
LC50|37688|10300|
LC50|96914|17111|
LC50|52396|374|
LC50|52395|17110|
LC50|52375|5767|
LC50|440573|17109|
LC50|52383|5940|
LC50|52383|5940|
LC50||16801|
LC50||16801|
LC50||16801|
LC50||16801|
LC50|8355|206|
LC50|8355|206|
LC50|8355|206|
LC50|8355|206|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|8090|109|
LC50|7955|5156|
LC50|8355|206|
LC50|8355|206|
LC50|152158|1357|
LC50|587144|347|
LC50|587144|347|
LC50|8127|134|
LC50|69293|97|
LD50|74940|22|
LD50|8019|23|
LD50|8019|23|
LD50|74940|22|
LD50|8022|4|
LD50|8022|4|
LC50|195543|1186|
LC50|6661|3004|
LC50|152158|1357|
LC50||388|
LC50|112780|19979|
LC50|351233|19978|
LC50|351233|19978|
LC50|6661|3004|
LC50|95602|4668|
LC50|173342|136|
LC50|8127|134|
LC50|10195|345|
LC50|195543|1186|
LC50|6239|4550|
LC50|6239|4550|
LC50|120202|240|
LC50|35525|5|
LC50|158387|6038|
LC50|8090|109|
LC50|8090|109|
LC50|8081|28|
LC50|35525|5|
LC50|35525|5|
LC50|8090|109|
LC50|8090|109|
LC50|8355|206|
LC50|8355|206|
LC50|150844|901|
LC50|8090|109|
LC50|191788|19839|
LC50|6239|4550|
LC50|6239|4550|
LC50|8355|206|
LC50|8355|206|
LC50|7955|5156|
LC50|7962|21|
LC50|8355|206|
LC50|6669|8|
LC50|7955|5156|
LC50|90988|1|
LC50|90988|1|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50||18746|
LC50||18746|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|55810|495|
LC50|106804|31617|
LC50|50959|494|
LC50|7962|21|
LC50|7962|21|
LC50|6239|4550|
LC50|6239|4550|
LC50|7962|21|
LC50|90988|1|
LC50|90988|1|
LC50|90988|1|
LC50|91582|2638|
LC50|8090|109|
LC50|8090|109|
LC50|6087|2807|
LC50|104777|1747|
LC50|136180|376|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|158387|6038|
LC50|35525|5|
LC50|110441|142|
LC50|294128|52|
LC50|35525|5|
LC50|158387|6038|
LC50|110441|142|
LC50|8090|109|
LC50|8090|109|
LC50|8090|109|
LC50|7153|85|
LC50|315576|964|
LC50|315576|964|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|75126|903|
LC50|75126|903|
LC50|61662|640|
LC50|7159|230|
LC50|7160|1770|
LC50|8090|109|
LC50|8090|109|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50||212|
LC50|136180|376|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|8090|109|
LC50||20369|
LC50||2422|
LC50|7176|397|
LC50|7159|230|
LC50||20369|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|6523|294|
LC50|7962|21|
LC50|8355|206|
LC50|8355|206|
LC50|8355|206|
LC50|221654|302|
LC50|399978|4789|
LC50|399978|4789|
LC50|294128|52|
LC50|294128|52|
LC50|221654|302|
LC50|38577|1194|
LC50|29019|17738|
LC50|1042268|4612|
LC50|1042268|4612|
LC50|1042268|4612|
LC50|1042268|4612|
LC50|221654|302|
LC50|7957|25|
LC50|7957|25|
LC50|8022|4|
LC50|399978|4789|
LC50|294128|52|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|6669|8|
LC50|7962|21|
LC50|8130|2495|
LC50|439429|17102|
LC50|30325|31156|
LC50|146672|753|
LC50|146672|753|
LC50|35525|5|
LC50|35525|5|
LC50|52641|372|
LC50|117530|2371|
LC50|35525|5|
LC50|54333|16176|
LC50|54333|16176|
LC50|304456|418|
LC50|36177|2516|
LC50|59899|113|
LC50|8130|2495|
LC50|93621|352|
LC50|7955|5156|
LC50|90988|1|
LC50|13106|2|
LC50|90988|1|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|28743|86|
LC50|28743|86|
LC50|28743|86|
LC50|8022|4|
LC50|8022|4|
LC50|87719|17099|
LC50|7907|2514|
LC50|72053|11611|
LC50|323265|11784|
LC50|323265|11784|
LC50|232998|2599|
LC50|154827|2617|
LC50|232998|2599|
LC50|453929|11783|
LC50|453929|11783|
LC50|154827|2617|
LC50|209197|11660|
LC50|170859|4810|
LC50|72053|11611|
LC50|641303|11503|
LC50|209197|11660|
LC50|641303|11503|
LC50|68464|16178|
LC50|170859|4810|
LC50|204490|17101|
LC50|87719|17099|
LC50|204490|17101|
LC50|323265|11784|
LC50|68464|16178|
LC50|7907|2514|
LC50||4788|
LC50|315576|964|
LC50|315576|964|
LC50|96914|17111|
LC50|52375|5767|
LC50|52396|374|
LC50|52395|17110|
LC50|252541|25975|
LC50|440573|17109|
LC50|6523|294|
LC50|52383|5940|
LC50|6523|294|
LC50|61662|640|
LC50|61662|640|
LC50|61662|640|
LC50|61662|640|
LC50|35525|5|
LC50|8130|2495|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7757|84|
LC50|7757|84|
LC50|7757|84|
LC50|6386|532|
LC50|6386|532|
LC50|6386|532|
LC50|6386|532|
LC50|6669|8|
LC50|7962|21|
LC50|6669|8|
LC50|35525|5|
LC50|7962|21|
LC50|74940|22|
LC50|74940|22|
LC50|6669|8|
LC50|7962|21|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50||18746|
LC50||18746|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50|55810|495|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50|50959|494|
LC50||1640|
LC50|106804|31617|
LC50||1640|
LC50|50959|494|
LC50||1640|
LC50|90988|1|
LC50|90988|1|
LC50|90988|1|
LC50|6761|2461|
LC50|399978|4789|
LC50|399978|4789|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|120844|5416|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|7159|230|
LC50|7160|1770|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50|37688|10300|
LC50||1582|
LC50|35525|5|
LC50|117530|2371|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|8128|485|
LC50|8128|485|
LC50|59899|113|
LC50|304456|418|
LC50|93621|352|
LC50|7955|5156|
LC50|8022|4|
LC50||4788|
LC50|37688|10300|
LC50|52375|5767|
LC50|96914|17111|
LC50|52395|17110|
LC50|52396|374|
LC50|440573|17109|
LC50|52383|5940|
LC50|38577|1194|
LC50|38577|1194|
LC50|38577|1194|
LC50|38577|1194|
LC50|35525|5|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|35525|5|
LC50|8130|2495|
LC50|315576|964|
LC50|7955|5156|
LC50|8130|2495|
LC50|6669|8|
LC50|7962|21|
LC50|35525|5|
LC50|8130|2495|
LC50||18746|
LC50||18746|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|106804|31617|
LC50|50959|494|
LC50|50959|494|
LC50|55810|495|
LC50|7955|5156|
LC50|6669|8|
LC50|158387|6038|
LC50|7962|21|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|6669|8|
LC50|7962|21|
LC50|6669|8|
LC50|7962|21|
LC50|294128|52|
LC50|50959|494|
LC50|6669|8|
LC50|7962|21|
LC50|6669|8|
LC50|7962|21|
LC50|7159|230|
LC50|7160|1770|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|6669|8|
LC50|7962|21|
LC50|35525|5|
LC50|6669|8|
LC50|90988|1|
LC50|7962|21|
LC50|6669|8|
LC50|7962|21|
LC50|33849|1682|
LC50||482|
LC50|35525|5|
LC50|35525|5|
LC50|8090|109|
LC50|8090|109|
LC50|10190|148|
LC50|60850|5373|
LC50||1418|
LC50|439429|17102|
LC50|30325|31156|
LC50|146672|753|
LC50|146672|753|
LC50|274642|5973|
LC50|274642|5973|
LC50|274642|5973|
LC50|274642|5973|
LC50|1255123|2910|
LC50|150844|901|
LC50|150844|901|
LC50|1255123|2910|
LC50/|27404|1260|
LC50|96236|1269|
LC50|96236|1269|
LC50|96236|1269|
LC50/|27404|1260|
LC50|96236|1269|
LC50|117530|2371|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|117530|2371|
LC50|117530|2371|
LC50|117530|2371|
LC50|158387|6038|
LC50|158387|6038|
LC50|117530|2371|
LC50|117530|2371|
LC50|117530|2371|
LC50|117530|2371|
LC50|35525|5|
LC50|88015|649|
