"Species NCBI TaxID"|"Species ECOTOX Number"|
6661|3004|
33528|16|
33528|16|
33528|16|
425479|2761|
33528|16|
425479|2761|
425479|2761|
425479|2761|
8022|4|
8355|206|
8355|206|
8355|206|
|212|
|4676|
|4676|
8090|109|
8090|109|
8078|57|
8078|57|
399978|4789|
399978|4789|
1080760|4701|
1522908|5900|
294128|52|
294128|52|
7176|397|
7176|397|
7153|85|
8355|206|
8355|206|
178002|382|
178002|382|
35525|5|
85549|366|
85549|366|
85549|366|
8090|109|
8090|109|
8090|109|
8128|485|
|4676|
|4676|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
|5692|
|1579|
7176|397|
7175|210|
7176|397|
7175|210|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
85549|366|
85549|366|
85549|366|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
|388|
8260|130|
8260|130|
33397|81|
33397|81|
|4657|
6386|532|
6386|532|
35525|5|
35525|5|
35525|5|
|11255|
33528|16|
7175|210|
7176|397|
7176|397|
7176|397|
7159|230|
7159|230|
402028|5531|
|4676|
35525|5|
|212|
|4676|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
1080760|4701|
1522908|5900|
8081|28|
47562|3052|
8355|206|
117530|2371|
117530|2371|
117530|2371|
90988|1|
136180|376|
52641|372|
|4676|
52641|372|
52641|372|
52641|372|
|212|
|4676|
52641|372|
52641|372|
52641|372|
52641|372|
52641|372|
52641|372|
7955|5156|
7955|5156|
294128|52|
35525|5|
90988|1|
7153|85|
136180|376|
1080760|4701|
1522908|5900|
35525|5|
294128|52|
52641|372|
294128|52|
294128|52|
35525|5|
52641|372|
294128|52|
52641|372|
52641|372|
294128|52|
294128|52|
294128|52|
52641|372|
294128|52|
52641|372|
294128|52|
294128|52|
294128|52|
268476|7370|
268476|7370|
268476|7370|
|11255|
268476|7370|
33528|16|
8081|28|
7955|5156|
7955|5156|
8081|28|
8081|28|
7955|5156|
7955|5156|
8081|28|
315576|964|
402028|5531|
8081|28|
8081|28|
8081|28|
8081|28|
6523|294|
6523|294|
6523|294|
6523|294|
35525|5|
35525|5|
8090|109|
8090|109|
8090|109|
1143|5191|
6660|421|
6660|421|
1522908|5900|
223650|1577|
1080760|4701|
6660|421|
35525|5|
35525|5|
59899|113|
8128|485|
8128|485|
304456|418|
8128|485|
93621|352|
8128|485|
8128|485|
7955|5156|
329105|1670|
329105|1670|
329105|1670|
7159|230|
7159|230|
1239313|4665|
294128|52|
|2921|
13013|2079|
13013|2079|
8128|485|
13013|2079|
8128|485|
8081|28|
8081|28|
8081|28|
8081|28|
6523|294|
6523|294|
6523|294|
6523|294|
6697|5355|
272819|4707|
272819|4707|
272819|4707|
59899|113|
59899|113|
84645|202|
|1847|
|1640|
|1640|
|1640|
|1640|
6523|294|
6550|208|
1179|1476|
1179|1476|
1179|1476|
1179|1476|
145282|1920|
145282|1920|
145282|1920|
145282|1920|
