"Species NCBI TaxID"|"Species ECOTOX Number"|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
7955|5156|
7955|5156|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
1606681|41904|
1606681|41904|
304018|41903|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
304018|41903|
1606681|41904|
304018|41903|
1606681|41904|
304018|41903|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
42528|11805|
1606681|41904|
1606681|41904|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
304018|41903|
304018|41903|
304018|41903|
1606681|41904|
1606681|41904|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
304018|41903|
1606681|41904|
304018|41903|
304018|41903|
1606681|41904|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
1606681|41904|
1606681|41904|
304018|41903|
304018|41903|
304018|41903|
304018|41903|
1606681|41904|
1606681|41904|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
35525|5|
35525|5|
7955|5156|
7955|5156|
7955|5156|
35525|5|
7955|5156|
7955|5156|
7955|5156|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
44823|29703|
75329|997|
75329|997|
75329|997|
7955|5156|
7955|5156|
7955|5156|
56106|1341|
56106|1341|
56106|1341|
160499|17201|
47562|3052|
425018|500|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
96919|4600|
52396|374|
35525|5|
35525|5|
37318|10712|
6660|421|
|17854|
|17854|
7955|5156|
90988|1|
7159|230|
7159|230|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
|6003|
35525|5|
|17854|
|17854|
213326|52971|
335913|52970|
324873|16284|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
