"Species NCBI TaxID"|"Species ECOTOX Number"|
36177|2516|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
8081|28|
8081|28|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
91582|2638|
104777|1747|
152158|1357|
8127|134|
195543|1186|
104777|1747|
8404|358|
8404|358|
8404|358|
45438|2353|
|4676|
110441|142|
110441|142|
158387|6038|
88015|649|
35525|5|
|4676|
35525|5|
8090|109|
8090|109|
8090|109|
8090|109|
8355|206|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
91582|2638|
35525|5|
35525|5|
93621|352|
|2422|
|2422|
|2422|
|2422|
|1077|
|2422|
|2422|
|2422|
7159|230|
7159|230|
|18447|
7159|230|
7159|230|
|18447|
7159|230|
7159|230|
7159|230|
8355|206|
88015|649|
221654|302|
7153|85|
315576|964|
36095|24578|
109671|899|
50959|494|
106804|31617|
|16354|
50959|494|
55729|2441|
191805|569|
50959|494|
8355|206|
8355|206|
117530|2371|
221654|302|
294128|52|
221654|302|
35525|5|
221654|302|
50959|494|
6661|3004|
35525|5|
90988|1|
90988|1|
7955|5156|
90988|1|
79674|648|
79674|648|
|18819|
6728|102|
6723|4690|
79674|648|
120202|240|
683979|18822|
79674|648|
35525|5|
35525|5|
35525|5|
35525|5|
35525|5|
42528|11805|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7962|21|
7962|21|
7962|21|
7962|21|
338287|18821|
204742|5301|
223650|1577|
|4676|
|4676|
91582|2638|
8090|109|
|2422|
|2422|
38782|1545|
7176|397|
|2422|
|18421|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
117530|2371|
35525|5|
117530|2371|
35525|5|
35525|5|
117530|2371|
117530|2371|
90988|1|
90988|1|
1232801|1780|
1232801|1780|
8128|485|
35525|5|
35525|5|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7957|25|
|4676|
35525|5|
|4676|
35525|5|
35525|5|
7955|5156|
6661|3004|
7955|5156|
6161|4764|
6161|4764|
6161|4764|
6161|4764|
106804|31617|
50959|494|
8090|109|
8090|109|
8404|358|
45438|2353|
8404|358|
8404|358|
223650|1577|
294128|52|
35525|5|
|4676|
|4676|
8090|109|
7955|5156|
7955|5156|
7955|5156|
7153|85|
315576|964|
315576|964|
7153|85|
6087|2807|
6087|2807|
6087|2807|
6087|2807|
8090|109|
8090|109|
8090|109|
8090|109|
6661|3004|
6087|2807|
223650|1577|
35525|5|
93621|352|
7955|5156|
|2422|
37688|10300|
35525|5|
8130|2495|
35525|5|
5911|4768|
30343|478|
30343|478|
79674|648|
79674|648|
64150|579|
13013|2079|
27695|11070|
|94|
64150|579|
64150|579|
64150|579|
27695|11070|
8128|485|
93621|352|
93621|352|
93621|352|
93621|352|
7962|1520|
7962|21|
7962|21|
7962|21|
7962|21|
7962|21|
7962|21|
53503|10735|
315576|964|
85549|366|
91582|2638|
8090|109|
315576|964|
8355|206|
8355|206|
68449|19096|
429310|19095|
143526|357|
143526|357|
68449|19096|
143526|357|
68449|19096|
429310|19095|
429310|19095|
30335|1146|
30335|1146|
68449|19096|
429310|19095|
30335|1146|
77663|10813|
6668|70|
6657|15613|
84308|281|
84308|281|
6657|15613|
6668|70|
6668|70|
84308|281|
77663|10813|
6668|70|
6657|15613|
84308|281|
77663|10813|
6668|70|
6657|15613|
84308|281|
84308|281|
84308|281|
77663|10813|
77663|10813|
6657|15613|
6657|15613|
77663|10813|
6657|15613|
645159|730|
6668|70|
6657|15613|
84308|281|
6668|70|
6668|70|
77663|10813|
85549|366|
77663|10813|
6697|5355|
35525|5|
35525|5|
35525|5|
221654|302|
221654|302|
35525|5|
103213|18756|
94993|2231|
7936|574|
136835|15658|
94993|2231|
94993|2231|
94993|2231|
94993|2231|
13489|365|
7962|21|
7959|201|
7959|201|
7959|201|
7959|201|
7959|201|
7959|201|
7959|201|
7959|201|
|18421|
37688|10300|
6565|67|
103373|368|
145282|1920|
439429|17102|
30343|478|
38577|1194|
30325|31156|
146672|753|
152344|4814|
160499|17201|
43114|971|
160499|17201|
298395|1467|
146672|753|
47562|3052|
8400|812|
8355|206|
69834|17199|
27403|517|
77707|2310|
29019|17738|
200852|5147|
77707|2310|
35525|5|
221654|302|
117530|2371|
72446|572|
313441|1632|
36177|2516|
59899|113|
59899|113|
8284|1015|
8128|485|
59899|113|
54333|16176|
54333|16176|
8081|28|
28743|86|
8081|28|
8081|28|
90988|1|
8081|28|
8081|28|
28743|86|
8081|28|
28743|86|
90988|1|
7955|5156|
7962|21|
7957|25|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
72053|11611|
154827|2617|
7907|2514|
323265|11784|
641303|11503|
209197|11660|
232998|2599|
68464|16178|
69138|135|
69138|135|
641303|11503|
453929|11783|
204490|17101|
154827|2617|
68464|16178|
453929|11783|
209197|11660|
87719|17099|
323265|11784|
7907|2514|
87719|17099|
170859|4810|
204490|17101|
72053|11611|
232998|2599|
170859|4810|
323265|11784|
7192|1173|
|2422|
310513|2090|
310513|2090|
7159|230|
37688|10300|
52396|374|
52395|17110|
96914|17111|
52375|5767|
440573|17109|
52383|5940|
52383|5940|
|16801|
|16801|
|16801|
|16801|
8355|206|
8355|206|
8355|206|
8355|206|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
7955|5156|
8090|109|
8355|206|
8355|206|
152158|1357|
587144|347|
587144|347|
8127|134|
69293|97|
195543|1186|
6661|3004|
351233|19978|
152158|1357|
6661|3004|
|388|
351233|19978|
112780|19979|
95602|4668|
8127|134|
173342|136|
10195|345|
195543|1186|
6239|4550|
6239|4550|
120202|240|
35525|5|
158387|6038|
8090|109|
8090|109|
8081|28|
35525|5|
35525|5|
8090|109|
8090|109|
8355|206|
8355|206|
150844|901|
8090|109|
191788|19839|
6239|4550|
6239|4550|
8355|206|
8355|206|
7955|5156|
7962|21|
8355|206|
6669|8|
7955|5156|
90988|1|
90988|1|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
|18746|
|18746|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7160|1770|
55810|495|
106804|31617|
50959|494|
7962|21|
7962|21|
6239|4550|
6239|4550|
7962|21|
90988|1|
90988|1|
90988|1|
91582|2638|
8090|109|
8090|109|
6087|2807|
104777|1747|
136180|376|
8022|4|
8022|4|
8022|4|
8022|4|
110441|142|
110441|142|
158387|6038|
35525|5|
158387|6038|
35525|5|
294128|52|
8090|109|
8090|109|
8090|109|
315576|964|
315576|964|
7153|85|
6087|2807|
6087|2807|
6087|2807|
6087|2807|
75126|903|
75126|903|
61662|640|
7159|230|
7160|1770|
8090|109|
8090|109|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7159|230|
7160|1770|
7160|1770|
7160|1770|
136180|376|
|212|
7962|21|
7962|21|
7962|21|
7962|21|
8090|109|
|20369|
|2422|
7176|397|
7159|230|
|20369|
8022|4|
8022|4|
8022|4|
8022|4|
6523|294|
7962|21|
8355|206|
8355|206|
8355|206|
221654|302|
399978|4789|
399978|4789|
221654|302|
294128|52|
294128|52|
38577|1194|
29019|17738|
1042268|4612|
1042268|4612|
1042268|4612|
221654|302|
1042268|4612|
7957|25|
7957|25|
8022|4|
399978|4789|
294128|52|
7159|230|
7159|230|
7160|1770|
7955|5156|
